,local_time,date,latitude,longitude,depth,mag,magType,location
111,2011-05-15 22:02:46.360000+06:30,2011-05-15,26.073,96.62100000000001,25.7,4.2,mb,Kachin
112,1986-11-29 18:10:51.810000+06:30,1986-11-29,26.069000000000003,96.939,33.0,4.7,mb,Kachin
113,2007-06-11 02:11:26.150000+06:30,2007-06-11,26.065,96.823,46.1,4.2,mb,Kachin
114,2012-10-10 11:59:56.710000+06:30,2012-10-10,26.064,96.368,52.6,4.2,mb,Kachin
115,2012-08-02 04:28:38.880000+06:30,2012-08-02,26.055,96.311,43.8,4.7,mb,Kachin
116,2011-04-29 20:55:48.840000+06:30,2011-04-29,26.026999999999997,97.045,35.0,4.0,mb,Kachin
117,2019-02-07 15:19:37.010000+06:30,2019-02-07,26.0047,96.8478,10.0,4.3,mb,Kachin
118,2000-05-11 22:22:55.300000+06:30,2000-05-11,26.003,96.95200000000001,47.8,4.4,mb,Kachin
119,1988-03-06 11:13:17.500000+06:30,1988-03-06,25.99,95.412,92.9,4.7,mb,Sagaing
120,1979-08-21 12:26:27.300000+06:30,1979-08-21,25.980999999999998,95.208,128.0,4.1,mb,Sagaing
121,2008-07-07 09:20:36.670000+06:30,2008-07-07,25.971999999999998,95.33,72.0,4.9,mwc,Sagaing
122,1992-03-22 20:58:24+06:30,1992-03-22,25.971,95.613,33.0,4.3,mb,Sagaing
123,1995-03-04 06:32:40.820000+06:30,1995-03-04,25.97,96.72,33.0,3.8,mb,Kachin
124,1978-06-09 12:41:55.700000+06:30,1978-06-09,25.967,96.51299999999999,107.0,4.6,mb,Kachin
125,1993-12-10 00:56:18.210000+06:30,1993-12-10,25.955,96.50399999999999,33.0,4.7,mb,Kachin
126,1996-07-28 20:56:30.030000+06:30,1996-07-28,25.938000000000002,95.465,90.9,4.5,mb,Sagaing
127,2017-01-30 04:06:08.190000+06:30,2017-01-30,25.9321,96.4968,41.14,4.5,mb,Kachin
128,2014-03-26 21:01:25.890000+06:30,2014-03-26,25.9277,96.7983,50.45,4.1,mb,Kachin
129,1982-09-14 12:31:29.620000+06:30,1982-09-14,25.918000000000003,95.32700000000001,99.0,4.8,mb,Sagaing
130,1976-12-25 07:37:10.900000+06:30,1976-12-25,25.910999999999998,95.064,84.0,4.9,mb,Sagaing
131,1994-05-05 12:34:02.290000+06:30,1994-05-05,25.895,95.64299999999999,104.0,4.8,mb,Sagaing
132,2014-06-20 09:43:37.030000+06:30,2014-06-20,25.8912,97.3375,10.0,4.1,mb,Kachin
133,2005-10-10 01:44:17.450000+06:30,2005-10-10,25.878,95.557,97.4,3.6,mb,Sagaing
134,1986-09-05 22:44:35.770000+06:30,1986-09-05,25.873,96.34299999999999,33.0,4.1,mb,Kachin
135,2000-04-22 22:11:32.030000+06:30,2000-04-22,25.815,95.016,74.3,4.4,mb,Sagaing
